sku,name,category,price_cents,description,detail
B190,B190 Handcrafted Press-On,press-on,0,,true
B191,B191 Handcrafted Press-On,press-on,0,,true
B244,B244 Handcrafted Press-On,press-on,0,,true
B248,B248 Handcrafted Press-On,press-on,0,,true
C192,C192 Handcrafted Press-On,press-on,0,,true
C209,C209 Handcrafted Press-On,press-on,0,,true
C233,C233 Handcrafted,handcraft,0,,true
D162,D162 Handcrafted,handcraft,0,,true
D24322,D24322 Handcrafted,handcraft,0,,true
D24905,D24905 Handcrafted,handcraft,0,,true
D29003,D29003 Handcrafted,handcraft,0,,true
D4905,D4905 Handcrafted,handcraft,0,,true
DH3247,DH3247 Handcrafted Press-On,press-on,0,,true
DH3248,DH3248 Handcrafted Press-On,press-on,0,,true
DH3250,DH3250 Handcrafted Press-On,press-on,0,,true
DH3258,DH3258 Handcrafted Press-On,press-on,0,,true
DH3266,DH3266 Handcrafted Press-On,press-on,0,,true
DH3267,DH3267 Handcrafted Press-On,press-on,0,,true
DH3268,DH3268 Handcrafted Press-On,press-on,0,,true
DH3269,DH3269 Handcrafted Press-On,press-on,0,,true
DH3270,DH3270 Handcrafted Press-On,press-on,0,,true
DH3406,DH3406 Handcrafted Press-On,press-on,0,,true
DX1901,DX1901 Handcrafted Press-On,press-on,0,,true
DX1909,DX1909 Handcrafted Press-On,press-on,0,,true
DX1910,DX1910 Handcrafted Press-On,press-on,0,,true
DX1911,DX1911 Handcrafted Press-On,press-on,0,,true
DX1912,DX1912 Handcrafted Press-On,press-on,0,,true
DX1913,DX1913 Handcrafted Press-On,press-on,0,,true
DX2944,DX2944 Handcrafted Press-On,press-on,0,,true
DX3256,DX3256 Handcrafted Press-On,press-on,0,,true
DX3257,DX3257 Handcrafted Press-On,press-on,0,,true
DX3259,DX3259 Handcrafted Press-On,press-on,0,,true
DX3261,DX3261 Handcrafted Press-On,press-on,0,,true
DX3262,DX3262 Handcrafted Press-On,press-on,0,,false
DX3263,DX3263 Handcrafted Press-On,press-on,0,,true
DX3264,DX3264 Handcrafted Press-On,press-on,0,,true
DX3271,DX3271 Handcrafted Press-On,press-on,0,,true
DX3272,DX3272 Handcrafted Press-On,press-on,0,,true
DX3273,DX3273 Handcrafted Press-On,press-on,0,,true
DX3404,DX3404 Handcrafted Press-On,press-on,0,,true
DX3407,DX3407 Handcrafted Press-On,press-on,0,,true
DX3408,DX3408 Handcrafted Press-On,press-on,0,,true
DX3409,DX3409 Handcrafted Press-On,press-on,0,,true
DX3410,DX3410 Handcrafted Press-On,press-on,0,,true
DX3412,DX3412 Handcrafted Press-On,press-on,0,,true
E124,E124 Handcrafted,handcraft,0,,true
E125,E125 Handcrafted,handcraft,0,,true
E126,E126 Handcrafted,handcraft,0,,true
E127,E127 Handcrafted,handcraft,0,,false
E128,E128 Handcrafted,handcraft,0,,true
E129,E129 Handcrafted,handcraft,0,,true
E130,E130 Handcrafted,handcraft,0,,true
E132,E132 Handcrafted,handcraft,0,,true
E133,E133 Handcrafted,handcraft,0,,true
E145,E145 Handcrafted,handcraft,0,,true
E172,E172 Handcrafted,handcraft,0,,true
E175,E175 Handcrafted,handcraft,0,,true
E180,E180 Handcrafted,handcraft,0,,true
E214,E214 Handcrafted,handcraft,0,,true
E227,E227 Handcrafted,handcraft,0,,true
E229,E229 Handcrafted,handcraft,0,,true
E230,E230 Handcrafted,handcraft,0,,true
E237,E237 Handcrafted,handcraft,0,,true
E366,E366 Handcrafted,handcraft,0,,true
E367,E367 Handcrafted,handcraft,0,,true
E369,E369 Handcrafted,handcraft,0,,true
E370,E370 Handcrafted,handcraft,0,,true
F248,F248 Handcrafted,handcraft,0,,true
F249,F249 Handcrafted,handcraft,0,,true
F251,F251 Handcrafted,handcraft,0,,true
F252,F252 Handcrafted,handcraft,0,,true
XN2402,XN2402 Handcrafted,handcraft,0,,true
YMDY-010,YMDY-010,diy,0,,true
YMDY-011,YMDY-011,diy,0,,true
YMDY-012,YMDY-012,diy,0,,true
YMDY-013,YMDY-013,diy,0,,true
YMDY-014,YMDY-014,diy,0,,true
YMDY-015,YMDY-015,diy,0,,true
YMDY-016,YMDY-016,diy,0,,true
YMDY-017,YMDY-017,diy,0,,true
YMDY-018,YMDY-018,diy,0,,true
YMDY-019,YMDY-019,diy,0,,true
YMDY-020,YMDY-020,diy,0,,true
YMDY-021,YMDY-021,diy,0,,true
YMDY-022,YMDY-022,diy,0,,true
YMDY-023,YMDY-023,diy,0,,true
YMDY-024,YMDY-024,diy,0,,true
YMDY-025,YMDY-025,diy,0,,true
YMDY-026,YMDY-026,diy,0,,true
YMDY-027,YMDY-027,diy,0,,true
YMDY-029,YMDY-029,diy,0,,true
YMDY-030,YMDY-030,diy,0,,true
YMDY-031,YMDY-031,diy,0,,true
YMDY-032,YMDY-032,diy,0,,true
YMDY-034,YMDY-034,diy,0,,true
YMDY-035,YMDY-035,diy,0,,true
YMDY-045,YMDY-045,diy,0,,true
YMDY-046,YMDY-046,diy,0,,true
YMDY-047,YMDY-047,diy,0,,true
YMDY-049,YMDY-049,diy,0,,true
YMDY-050,YMDY-050,diy,0,,true
YMDY-052,YMDY-052,diy,0,,true
YMDY-053,YMDY-053,diy,0,,true
YMDY-054,YMDY-054,diy,0,,true
YMDY-056,YMDY-056,diy,0,,true
YMDY-057,YMDY-057,diy,0,,true
YMDY-058,YMDY-058,diy,0,,true
YMDY-061,YMDY-061,diy,0,,true
